,Brand,Specs,Price
77,"Infinix Smart HD 2021 (Quartz Green, 32 GB)","2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
15.49 cm (6.1 inch) HD+ Display
8MP Rear Camera | 5MP Front Camera
5000 mAh Li-ion Polymer Battery
MediaTek Helio A20 Processor
1 Year on Handset and 6 Months on Accessories","₹7,990"
78,"OPPO A53s 5G (Crystal Blue, 128 GB)","8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.56 cm (6.52 inch) HD+ Display
13MP + 2MP + 2MP | 8MP Front Camera
5000 mAh Battery
MediaTek Dimensity 700 Processor
Dual-Mode 5G | Ultra Clear Eye Care Display | Side Fingerprint Unlock
Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories","₹17,990"
79,WIZPHONE W5 AIR,"32 MB RAM | 32 MB ROM
4.57 cm (1.8 inch) Display
1.2MP Rear Camera
2500 mAh Battery
6 Months Warranty","₹1,049"
80,"MOTOROLA G60 (Frosted Champagne, 128 GB)","6 GB RAM | 128 GB ROM
17.22 cm (6.78 inch) Full HD+ Display
108MP + 8MP + 2MP | 32MP Front Camera
6000 mAh Battery
Qualcomm Snapdragon 732G Processor
120Hz Refresh Rate
Stock Android Experience
1 Year on Handset and 6 Months on Accessories","₹18,099"
81,"OPPO A53s 5G (Ink Black, 128 GB)","8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.56 cm (6.52 inch) HD+ Display
13MP + 2MP + 2MP | 8MP Front Camera
5000 mAh Battery
MediaTek Dimensity 700 Processor
Dual-Mode 5G | Ultra Clear Eye Care Display | Side Fingerprint Unlock
Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories","₹17,990"
82,"realme C25_Y (Glacier Blue, 64 GB)","4 GB RAM | 64 GB ROM
16.51 cm (6.5 inch) HD+ Display
50MP + 2MP + 2MP | 8MP Front Camera
5000 mAh LiPo Battery
Unisoc T618 Processor
1 Year Domestic Warranty","₹10,999"
83,IAIR S19,"32 MB RAM | 32 MB ROM
6.1 cm (2.4 inch) NA Display
0.8MP Rear Camera
2800 mAh Battery
1 Year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase","₹1,299"
84,"realme C25_Y (Metal Grey, 64 GB)","4 GB RAM | 64 GB ROM
16.51 cm (6.5 inch) HD+ Display
50MP + 2MP + 2MP | 8MP Front Camera
5000 mAh LiPo Battery
Unisoc T618 Processor
1 Year Domestic Warranty","₹10,999"
85,"realme C25_Y (Metal Grey, 128 GB)","4 GB RAM | 128 GB ROM
16.51 cm (6.5 inch) HD+ Display
50MP + 2MP + 2MP | 8MP Front Camera
5000 mAh LiPo Battery
Unisoc T618 Processor
1 Year Domestic Warranty","₹11,999"
86,"realme C25_Y (Glacier Blue, 128 GB)","4 GB RAM | 128 GB ROM
16.51 cm (6.5 inch) HD+ Display
50MP + 2MP + 2MP | 8MP Front Camera
5000 mAh LiPo Battery
Unisoc T618 Processor
1 Year Domestic Warranty","₹11,999"
87,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.4 inch Display Screen, 0.8 mp Camera ...","32 MB RAM | 32 MB ROM | Expandable Upto 32 GB
6.1 cm (2.4 inch) Display
0.8MP + 0.8MP
2800 mAh Battery
1 Year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase","₹1,289"
88,"MOTOROLA G60 (Dynamic Gray, 128 GB)","6 GB RAM | 128 GB ROM
17.27 cm (6.8 inch) Full HD+ Display
108MP + 8MP + 2MP | 32MP Front Camera
6000 mAh Battery
Qualcomm Snapdragon 732G Processor
120Hz Refresh Rate
Stock Android Experience
1 Year on Handset and 6 Months on Accessories","₹18,099"
89,"Infinix Smart 5A (Midnight Black, 32 GB)","2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
16.56 cm (6.52 inch) HD+ Display
8MP + Depth Sensor | 8MP Front Camera
5000 mAh Li-ion Polymer Battery
MediaTek Helio A20 Processor
1 Year on Handset and 6 Months on Accessories","₹7,199"
90,"Infinix Smart 5A (Quetzal Cyan, 32 GB)","2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
16.56 cm (6.52 inch) HD+ Display
8MP + Depth Sensor | 8MP Front Camera
5000 mAh Li-ion Polymer Battery
MediaTek Helio A20 Processor
1 Year on Handset and 6 Months on Accessories","₹7,199"
91,I Kall K-60,"32 MB RAM | 64 MB ROM
6.1 cm (2.4 inch) Display
0.3MP Rear Camera
1500 mAh Battery
1 Year Manufacturer warranty","₹1,649"
92,"MOTOROLA E7 Power (Coral Red, 64 GB)","4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
16.54 cm (6.51 inch) HD+ Display
13MP + 2MP | 5MP Front Camera
5000 mAh Battery
MediaTek Helio G25 Processor
1 Year on Handset and 6 Months on Accessories","₹8,999"
93,"OPPO A33 (Mint Cream, 32 GB)","3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
13MP + 2MP + 2MP | 8MP Front Camera
5000 mAh Lithium-ion Polymer Battery
Qualcomm Snapdragon 460 Processor
90 Hz Punch Hole Display
18W Fast Charging
Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories","₹10,490"
94,I Kall K 48,"32 MB RAM | 64 MB ROM
4.57 cm (1.8 inch) Display
0.3MP Rear Camera
1500 mAh Battery
1 Year manufacturing warranty for mobile and 6 months for accessories",₹759
95,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.8 inch Display Screen, 0.8 mp Camera ...","0 MB ROM | Expandable Upto 32 GB
7.11 cm (2.8 inch) Display
0.8MP Rear Camera
2800 mAh Battery
1 Year Brand Replacement Warranty","₹1,219"
96,"Infinix Hot 11S (Silver Wave, 128 GB)","4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
17.22 cm (6.78 inch) Full HD+ Display
50 MP + 2 MP + AI Lens | 8MP Front Camera
5000 mAh Li-ion Polymer Battery
Mediatek Helio G88 Processor
1 Year on Handset and 6 Months on Accessories","₹11,999"
97,"Infinix Hot 11S (Green Wave, 128 GB)","4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
17.22 cm (6.78 inch) Full HD+ Display
50 MP + 2 MP + AI Lens | 8MP Front Camera
5000 mAh Li-ion Polymer Battery
Mediatek Helio G88 Processor
1 Year on Handset and 6 Months on Accessories","₹11,999"
98,"vivo V23 5G (Stardust Black, 256 GB)","12 GB RAM | 256 GB ROM
16.36 cm (6.44 inch) Full HD+ Display
64MP + 8MP + 2MP | 50MP + 8MP Dual Front Camera
4200 mAh Lithium Battery
Mediatek Dimensity 920 Processor
1 Year for Handset and 6 Months for Accessories","₹34,990"
99,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 1.77 inch Display Screen, 0.8 mp Camera...","32 MB RAM | 32 MB ROM | Expandable Upto 32 GB
4.5 cm (1.77 inch) Display
0.8MP + 0.8MP
2800 mAh Battery
1 Year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",₹999
100,LAVA A1 Josh 2021,"32 MB RAM | 24 MB ROM | Expandable Upto 32 GB
4.5 cm (1.77 inch) Quarter QVGA Display
800 mAh Li-ion Battery
1 Year Manufacturer Replacement Guarantee for Phone and 6 months Replacement for Accessories in the Box","₹1,011"
101,"realme Narzo 30 (Racing Blue, 128 GB)","6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) Full HD+ Display
48MP + 2MP + 2MP | 16MP Front Camera
5000 mAh Battery
MediaTek Helio G95 Processor
30W Charger
1 Year Warranty for Mobile and 6 Months for Accessories","₹15,499"
102,Nokia TA-1304/105 SS,"4 MB RAM | 4 MB ROM
4.5 cm (1.77 inch) Display
800 mAh Battery
1 Year Manufacturer Warranty","₹1,365"
103,WIZPHONE W5 AIR,"32 MB RAM | 32 MB ROM
4.57 cm (1.8 inch) Display
1.2MP Rear Camera
2500 mAh Battery
6 Months Warranty","₹1,049"
104,"POCO M3 Pro 5G (Power Black, 64 GB)","4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
16.51 cm (6.5 inch) Full HD+ Display
48MP + 2MP + 2MP | 8MP Front Camera
5000 mAh Lithium-ion Polymer Battery
MediaTek Dimensity 700 Processor
Multiple Hands-free Voice Assistant
One Year Warranty for Handset, 6 Months for Accessories","₹14,499"
105,LAVA A3,"4 MB RAM | 3 MB ROM | Expandable Upto 32 GB
4.5 cm (1.77 inch) Display
0.3MP Rear Camera
1750 mAh Battery
1 year manufacturer Replacement for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase","₹1,209"
106,"MOTOROLA G51 5G (Bright Silver, 64 GB)","4 GB RAM | 64 GB ROM
17.27 cm (6.8 inch) Full HD+ Display
50MP + 8MP + 2MP | 13MP Front Camera
5000 mAh Lithium Polymer Battery
Qualcomm Snapdragon 480 Pro Processor
1 Year on Handset and 6 Months on Accessories","₹14,999"
107,IAIR S19,"32 MB RAM | 32 MB ROM
6.1 cm (2.4 inch) NA Display
0.8MP Rear Camera
2800 mAh Battery
1 Year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase","₹1,299"
108,"realme 8 (Cyber Silver, 128 GB)","4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
16.26 cm (6.4 inch) Full HD+ Display
64MP + 8MP + 2MP + 2MP | 16MP Front Camera
5000 mAh Battery
MediaTek Helio G95 Processor
Super AMOLED Display
1 Year Warranty for Mobile and 6 Months for Accessories","₹15,999"
109,"realme C20 (Cool Blue, 32 GB)","2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
8MP Rear Camera | 5MP Front Camera
5000 mAh Battery
MediaTek Helio G35 Processor
1 Year Warranty for Mobile and 6 Months for Accessories","₹7,499"
110,"realme C20 (Cool Grey, 32 GB)","2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
8MP Rear Camera | 5MP Front Camera
5000 mAh Battery
MediaTek Helio G35 Processor
1 Year Warranty for Mobile and 6 Months for Accessories","₹7,499"
111,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.4 inch Display Screen, 0.8 mp Camera ...","32 MB RAM | 32 MB ROM | Expandable Upto 32 GB
6.1 cm (2.4 inch) Display
0.8MP + 0.8MP
2800 mAh Battery
1 Year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase","₹1,289"
112,LAVA A3,"4 MB RAM | 3 MB ROM | Expandable Upto 32 GB
4.5 cm (1.77 inch) Display
0.3MP Rear Camera
1750 mAh Battery
1 year manufacturer Replacement for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase","₹1,209"
113,"realme C25Y (Glacier Blue, 128 GB)","4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
50MP + 2MP + 2MP | 8MP Front Camera
5000 mAh Battery
Unisoc T610 Octa Core Processor
1 Year Warranty for Mobile and 6 Months for Accessories","₹12,049"
114,"Xiaomi 11i 5G (Stealth Black, 128 GB)","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.94 cm (6.67 inch) Full HD+ AMOLED Display
108MP Rear Camera | 16MP Front Camera
5160 mAh Li-Polymer Battery
Mediatek Dimensity 920 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories","₹24,999"
115,I Kall K-60,"32 MB RAM | 64 MB ROM
6.1 cm (2.4 inch) Display
0.3MP Rear Camera
1500 mAh Battery
1 Year Manufacturer warranty","₹1,649"
116,"APPLE iPhone 12 (Black, 64 GB)","64 GB ROM
15.49 cm (6.1 inch) Super Retina XDR Display
12MP + 12MP | 12MP Front Camera
A14 Bionic Chip with Next Generation Neural Engine Processor
Ceramic Shield
Industry-leading IP68 Water Resistance
All Screen OLED Display
12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR Recording
Brand Warranty for 1 Year","₹60,299"
117,"Infinix Hot 11S (Green Wave, 64 GB)","4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
17.22 cm (6.78 inch) Full HD+ Display
50MP + 2MP + AI Lens | 8MP Front Camera
5000 mAh Li-ion Polymer Battery
MediaTek Helio G88 Processor
90Hz Refresh Rate
18W Type C, Fast Charger
1 Year on Handset and 6 Months on Accessories","₹10,999"
118,"realme Narzo 30 (Racing Silver, 64 GB)","4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) Full HD+ Display
48MP + 2MP + 2MP | 16MP Front Camera
5000 mAh Battery
MediaTek Helio G95 Processor
30W Charger
1 Year Warranty for Mobile and 6 Months for Accessories","₹13,499"
119,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.8 inch Display Screen, 0.8 mp Camera ...","0 MB ROM | Expandable Upto 32 GB
7.11 cm (2.8 inch) Display
0.8MP Rear Camera
2800 mAh Battery
1 Year Brand Replacement Warranty","₹1,219"
120,"realme Narzo 30 (Racing Silver, 64 GB)","6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) Full HD+ Display
48MP + 2MP + 2MP | 16MP Front Camera
5000 mAh Battery
MediaTek Helio G95 Processor
30W Charger
1 Year Warranty for Mobile and 6 Months for Accessories","₹14,499"
121,"Infinix Note 11 (Celestial Snow, 64 GB)","4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
17.02 cm (6.7 inch) Full HD+ AMOLED Display
50 MP + 2 MP + AI Lens | 16MP Front Camera
5000 mAh Li-ion Polymer Battery
Mediatek Helio G88 Processor
1 Year on Handset and 6 Months on Accessories","₹12,499"
122,"Infinix Note 11 (Celestial Snow, 128 GB)","6 GB RAM | 128 GB ROM | Expandable Upto 512 GB
17.02 cm (6.7 inch) Full HD+ AMOLED Display
50 MP + 2 MP Depth Lens + AI Lens | 16MP Front Camera
5000 mAh Li-ion Polymer Battery
Mediatek Helio G88 Processor
1 Year on Handset and 6 Months on Accessories","₹14,499"
123,WIZPHONE W5 AIR,"32 MB RAM | 32 MB ROM
4.57 cm (1.8 inch) Display
1.2MP Rear Camera
2500 mAh Battery
6 Months Warranty","₹1,049"
124,"Infinix Hot 10S (Morandi Green, 64 GB)","4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
17.32 cm (6.82 inch) HD+ Display
48MP + 2MP + AI Lens Camera | 8MP Front Camera
6000 mAh Li-ion Polymer Battery
MediaTek Helio G85 Processor
90Hz Refresh Rate
1 Year on Handset and 6 Months on Accessories","₹9,999"
125,"Xiaomi 11i 5G (Purple Mist, 128 GB)","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.94 cm (6.67 inch) Full HD+ AMOLED Display
108MP Rear Camera | 16MP Front Camera
5160 mAh Li-Polymer Battery
Mediatek Dimensity 920 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories","₹24,999"
126,"SAMSUNG Galaxy F42 5G (Matte Black, 128 GB)","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.76 cm (6.6 inch) Full HD+ Display
64MP + 5MP + 2MP | 8MP Front Camera
5000 mAh Lithium-ion Battery
MediaTek Dimensity 700 Processor
1 Year Warranty Provided by the Manufacturer from Date of Purchase","₹20,999"
127,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 1.77 inch Display Screen, 0.8 mp Camera...","32 MB RAM | 32 MB ROM | Expandable Upto 32 GB
4.5 cm (1.77 inch) Display
0.8MP + 0.8MP
2800 mAh Battery
1 Year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",₹999
128,"POCO M3 Pro 5G (Power Black, 128 GB)","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.51 cm (6.5 inch) Full HD+ Display
48MP + 2MP + 2MP | 8MP Front Camera
5000 mAh Lithium-ion Polymer Battery
MediaTek Dimensity 700 Processor
Multiple Hands-free Voice Assistant
One Year Warranty for Handset, 6 Months for Accessories","₹16,499"
129,"SAMSUNG Galaxy M32 (Black, 64 GB)","4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
16.26 cm (6.4 inch) Full HD+ Display
64MP + 8MP + 2MP + 2MP | 20MP Front Camera
6000 mAh Battery
MediaTek Helio G80 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase","₹14,900"
130,"GIONEE Max (Royal Blue, 32 GB)","2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
15.49 cm (6.1 inch) HD+ Display
13MP + Digital Camera | 5MP Front Camera
5000 mAh Lithium-ion Polymer Battery
Octa Core Processor
One Year for Handset, 6 Months for Accessories","₹6,299"
131,IAIR S19,"32 MB RAM | 32 MB ROM
6.1 cm (2.4 inch) NA Display
0.8MP Rear Camera
2800 mAh Battery
1 Year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase","₹1,299"
132,"GIONEE Max (Black, 32 GB)","2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
15.49 cm (6.1 inch) HD+ Display
13MP + Digital Camera | 5MP Front Camera
5000 mAh Lithium-ion Polymer Battery
Octa Core Processor
One Year for Handset, 6 Months for Accessories","₹6,299"
133,"Xiaomi 11i 5G (Purple Mist, 128 GB)","8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.94 cm (6.67 inch) Full HD+ AMOLED Display
108MP Rear Camera | 16MP Front Camera
5160 mAh Li-Polymer Battery
Mediatek Dimensity 920 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories","₹26,999"
134,I Kall K 48,"32 MB RAM | 64 MB ROM
4.57 cm (1.8 inch) Display
0.3MP Rear Camera
1500 mAh Battery
1 Year manufacturing warranty for mobile and 6 months for accessories",₹759
135,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.4 inch Display Screen, 0.8 mp Camera ...","32 MB RAM | 32 MB ROM | Expandable Upto 32 GB
6.1 cm (2.4 inch) Display
0.8MP + 0.8MP
2800 mAh Battery
1 Year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase","₹1,289"
136,"SAMSUNG Galaxy F22 (Denim Black, 128 GB)","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.26 cm (6.4 inch) HD+ Display
48MP + 8MP + 2MP + 2MP | 13MP Front Camera
6000 mAh Lithium-ion Battery
MediaTek Helio G80 Processor
1 Year Warranty Provided by the Manufacturer from Date of Purchase","₹14,999"
137,Micromax X419,"32 MB RAM | 32 MB ROM
4.5 cm (1.77 inch) Display
0.8MP Rear Camera
1750 mAh Battery
1 Year Product and 6 Month Accessories",₹996
138,"realme Narzo 30 (Racing Silver, 128 GB)","6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) Full HD+ Display
48MP + 2MP + 2MP | 16MP Front Camera
5000 mAh Battery
MediaTek Helio G95 Processor
30W Charger
1 Year Warranty for Mobile and 6 Months for Accessories","₹15,499"
139,I Kall K-60,"32 MB RAM | 64 MB ROM
6.1 cm (2.4 inch) Display
0.3MP Rear Camera
1500 mAh Battery
1 Year Manufacturer warranty","₹1,649"
140,"SAMSUNG Galaxy M12 (Blue, 64 GB)","4 GB RAM | 64 GB ROM
16.51 cm (6.5 inch) Display
48MP Rear Camera
6000 mAh Battery
1 Year","₹11,149"
141,"SAMSUNG Galaxy M12 (White, 64 GB)","4 GB RAM | 64 GB ROM
16.51 cm (6.5 inch) Display
48MP Rear Camera
6000 mAh Battery
1 Year","₹11,344"
142,LAVA A3 Power,"32 MB RAM | 24 MB ROM | Expandable Upto 32 GB
4.5 cm (1.77 inch) Quarter QVGA Display
0.3MP Rear Camera
2575 mAh Li-ion Battery
1 Year Manufacturer Replacement Guarantee for Phone and 6 Months Replacement for Accessories In the Box","₹1,275"
143,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.8 inch Display Screen, 0.8 mp Camera ...","0 MB ROM | Expandable Upto 32 GB
7.11 cm (2.8 inch) Display
0.8MP Rear Camera
2800 mAh Battery
1 Year Brand Replacement Warranty","₹1,219"
144,LAVA A1500,"24 MB RAM | 32 MB ROM | Expandable Upto 32 GB
6.1 cm (2.4 inch) Quarter QVGA Display
0.8MP Rear Camera
1800 mAh Li-ion Battery
Camera Type:VGA
1 Year Manufacturer Replacement Guarantee for Phone and 6 Months Replacement for Accessories in the Box","₹1,829"
145,Nokia 105 SS 2021,"4 MB RAM | 4 MB ROM
4.5 cm (1.77 inch) Quarter QVGA Display
800 mAh Lithium Ion Battery
Brand Warranty of 1 Year Available for Mobile","₹1,299"
146,"SAMSUNG M32 5G (Sky blue, 128 GB)","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.51 cm (6.5 inch) HD+ Display
48MP + 8MP + 5MP + 2MP | 13MP Front Camera
5000 mAh Battery
Dimensity 720 5G Processor
1 Year Warranty Provided by the Manufacturer from Date of Purchase","₹19,382"
147,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 1.77 inch Display Screen, 0.8 mp Camera...","32 MB RAM | 32 MB ROM | Expandable Upto 32 GB
4.5 cm (1.77 inch) Display
0.8MP + 0.8MP
2800 mAh Battery
1 Year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",₹999
148,"vivo Y12G (Phantom Black, 32 GB)","3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
16.54 cm (6.51 inch) HD+ Display
13MP + 2MP | 8MP Front Camera
5000 mAh Li-ion Battery
Qualcomm Snapdragon 439 Processor
1 Year Warranty for Handset and 6 Months for In-box Accessories","₹10,990"
149,LAVA Flip,"32 MB RAM | 32 MB ROM | Expandable Upto 32 GB
6.1 cm (2.4 inch) QVGA Display
0.08MP Rear Camera
1200 mAh Lithium-ion Battery
MTK6261D Processor
1 Year Manufacturer Replacement Guarantee for Phone and 6 Months Replacement for Accessories in the Box","₹1,868"
150,"SAMSUNG Galaxy A22 5G (Mint, 128 GB)","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.76 cm (6.6 inch) Full HD+ Display
48MP + 5MP + 2MP | 8MP Front Camera
5000 mAh Lithium-ion Battery
MediaTek Dimensity 700 (MT6833V) Processor
1 Year Warranty Provided by the Manufacturer from Date of Purchase","₹17,998"
151,WIZPHONE W5 AIR,"32 MB RAM | 32 MB ROM
4.57 cm (1.8 inch) Display
1.2MP Rear Camera
2500 mAh Battery
6 Months Warranty","₹1,049"
152,Nokia 105,"32 MB ROM
3.56 cm (1.4 inch) Display
800 mAh3 Li-Ion Battery
1 Year Manufacturer Warranty","₹1,378"
153,"Infinix Note 11s (Symphony Cyan, 64 GB)","6 GB RAM | 64 GB ROM | Expandable Upto 512 GB
17.65 cm (6.95 inch) Full HD+ Display
50 MP + 2 MP Depth Lens + 2 MP Macro Lens | 16MP Front Camera
5000 mAh Li-ion Polymer Battery
Mediatek Helio G96 Processor
1 Year on Handset and 6 Months on Accessories","₹13,999"
154,"Infinix Note 11s (Haze Green, 64 GB)","6 GB RAM | 64 GB ROM | Expandable Upto 512 GB
17.65 cm (6.95 inch) Full HD+ Display
50 MP + 2 MP Depth Lens + 2 MP Macro Lens | 16MP Front Camera
5000 mAh Li-ion Polymer Battery
MediaTek Helio G96 Processor
1 Year on Handset and 6 Months on Accessories","₹13,999"
155,IAIR S19,"32 MB RAM | 32 MB ROM
6.1 cm (2.4 inch) NA Display
0.8MP Rear Camera
2800 mAh Battery
1 Year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase","₹1,299"
156,"vivo Y20T (Purist Blue, 64 GB)","6 GB RAM | 64 GB ROM | Expandable Upto 1 TB
16.54 cm (6.51 inch) HD+ Display
13MP + 2MP + 2MP | 8MP Front Camera
5000 mAh Lithium Battery
Qualcomm Snapdragon 662 Processor
1 Year for Handset and 6 Months for In-box Accessories","₹15,490"
157,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)","4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
16.55 cm (6.515 inch) HD+ Display
48MP + 5MP + 2MP + 2MP | 8MP Front Camera
6000 mAh Lithium-ion Battery
Exynos 850 Processor
1 Year Warranty Provided by the Manufacturer from Date of Purchase","₹11,499"
158,"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)","4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
16.55 cm (6.515 inch) HD+ Display
48MP + 5MP + 2MP + 2MP | 8MP Front Camera
6000 mAh Lithium-ion Battery
Exynos 850 Processor
1 Year Warranty Provided by the Manufacturer from Date of Purchase","₹11,499"
